Nombre,Precio,Rating,URL
Zapatilla Thrash De Pu Mujer 47 Street,$119.999,Sin rating,https://articulo.mercadolibre.com.ar/MLA-2020288138-zapatilla-thrash-de-pu-mujer-47-street-_JM?searchVariation=182986904328#polycard_client=search-nordic&searchVariation=182986904328&position=17&search_layout=grid&type=item&tracking_id=f2bcb65e-431c-498e-96b1-f434cc4603df
Zapatillas De Mujer Livianas Comodas Moda City Full,$37.903,Sin rating,https://articulo.mercadolibre.com.ar/MLA-1487606096-zapatillas-de-mujer-livianas-comodas-moda-city-full-_JM?searchVariation=178608747168#polycard_client=search-nordic&searchVariation=178608747168&position=18&search_layout=grid&type=item&tracking_id=f2bcb65e-431c-498e-96b1-f434cc4603df
Zapatillas Topper Vigo Blanco Azul,$59.999,Sin rating,https://articulo.mercadolibre.com.ar/MLA-2077325244-zapatillas-topper-vigo-blanco-azul-_JM?searchVariation=187881947177#polycard_client=search-nordic&searchVariation=187881947177&position=19&search_layout=grid&type=item&tracking_id=f2bcb65e-431c-498e-96b1-f434cc4603df
Zapatillas Para Hombre Nike Pegasus 40 Negro,$131.099,Sin rating,https://articulo.mercadolibre.com.ar/MLA-1462872331-zapatillas-para-hombre-nike-pegasus-40-negro-_JM?searchVariation=186197858285#polycard_client=search-nordic&searchVariation=186197858285&position=20&search_layout=grid&type=item&tracking_id=f2bcb65e-431c-498e-96b1-f434cc4603df
Zapatilla Carina Street Bold Elegance,$94.999,Sin rating,https://articulo.mercadolibre.com.ar/MLA-2089076356-zapatilla-carina-street-bold-elegance-_JM?searchVariation=183685734468#polycard_client=search-nordic&searchVariation=183685734468&position=21&search_layout=grid&type=item&tracking_id=f2bcb65e-431c-498e-96b1-f434cc4603df
Zapatillas Topper Boro Iii Color Negro Para Hombre,$54.899,Sin rating,https://articulo.mercadolibre.com.ar/MLA-1416140005-zapatillas-topper-boro-iii-color-negro-para-hombre-_JM?searchVariation=182148562301#polycard_client=search-nordic&searchVariation=182148562301&position=22&search_layout=grid&type=item&tracking_id=f2bcb65e-431c-498e-96b1-f434cc4603df
Zapatillas Moda Mujer Urbana Plataforma,$34.739,Sin rating,https://articulo.mercadolibre.com.ar/MLA-911111642-zapatillas-moda-mujer-urbana-plataforma-_JM?searchVariation=177744559523#polycard_client=search-nordic&searchVariation=177744559523&position=23&search_layout=grid&type=item&tracking_id=f2bcb65e-431c-498e-96b1-f434cc4603df
Zapatillas Jaguar Oficial Deportiva Art. # 918 Urbana Unisex,$23.455,Sin rating,https://articulo.mercadolibre.com.ar/MLA-800264201-zapatillas-jaguar-oficial-deportiva-art-918-urbana-unisex-_JM?searchVariation=79830135144#polycard_client=search-nordic&searchVariation=79830135144&position=24&search_layout=grid&type=item&tracking_id=f2bcb65e-431c-498e-96b1-f434cc4603df
Zapatillas Topper Gondor Il Deportivas Trekking Para Hombre,$63.840,Sin rating,https://www.mercadolibre.com.ar/zapatillas-topper-gondor-il-deportivas-trekking-para-hombre/p/MLA18681827#polycard_client=search-nordic&searchVariation=MLA18681827&wid=MLA1133115380&position=6&search_layout=grid&type=product&tracking_id=f2bcb65e-431c-498e-96b1-f434cc4603df&sid=search
Zapatillas Urbanas Mujer Hombre John Stone Del 36 Al 43,$39.790,Sin rating,https://www.mercadolibre.com.ar/zapatillas-urbanas-mujer-hombre-john-stone-del-36-al-43/up/MLAU3102647110#polycard_client=search-nordic&searchVariation=MLAU3102647110&wid=MLA2042076092&position=7&search_layout=grid&type=product&tracking_id=f2bcb65e-431c-498e-96b1-f434cc4603df&sid=search
